Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"LAD",80,1159,3085,108,419,393,31,0.106320907,0.205186385,0.176163874,0.300911854,0.261452513,0.344939798,0.437616387,0.3430226657251173,0.3502108236771754,118.30352590433533,-2.5824060244485736,64.30726474156819,10.910047732293606,17.783741780130153
"CHC",78,1148,3072,92,375,348,53,0.112304687,0.209960937,0.159262048,0.285935085,0.243599397,0.33778937,0.402861445,0.32872675737993057,0.3270033503720392,109.94124973816092,1.8180833049118519,37.84587668112734,19.799030694179237,15.953695805972782
"NYY",78,1134,2961,116,396,379,83,0.110097939,0.230327592,0.191522158,0.286028602,0.245086705,0.330402434,0.436608863,0.33566472358043453,0.335581728686811,113.612585935829,5.788539435248822,53.522161534206205,-5.212689116597176,15.644992837635176
"WSN",80,1194,3073,105,429,407,83,0.086234949,0.213472177,0.176040906,0.287506271,0.247626004,0.321346845,0.42366691,0.3265751815178576,0.32941927790327247,106.61399104505541,7.099655461031944,31.17626305465756,-7.300377264618874,12.522225294224747
"STL",77,1134,2956,87,355,343,51,0.088633288,0.202976995,0.149845917,0.288739669,0.248844375,0.32755102,0.398690292,0.32099671590605067,0.33017529661838824,104.8960924143425,2.1172805433161557,18.987257995391865,2.013268416747451,11.845459127672644
"HOU",81,1204,3064,107,367,352,26,0.088120104,0.217362924,0.169845928,0.28296146,0.243947175,0.318256309,0.413793103,0.32076289806670966,0.321823870209623,103.07764807865244,-3.2290506648132578,7.938374927782959,-10.541418579407036,10.839811529055382
"PIT",79,1177,3096,94,393,375,72,0.095607235,0.235788113,0.153199269,0.3125972,0.254844606,0.334412431,0.408043875,0.32874423909465805,0.3255889408950073,106.18673590906697,4.791249314788729,27.39736283599282,-23.536881234496832,10.561941508051762
"ATL",78,1146,2941,102,383,373,41,0.078544712,0.213192791,0.165849982,0.29025641,0.251790425,0.315520762,0.417640407,0.3212644168332036,0.32608223710566353,102.56921949790168,0.2866910117027146,9.102769892751537,-2.2004305412992835,10.3622176769962
"CHW",78,1199,2943,108,361,345,56,0.090383961,0.24328916,0.172533849,0.282425603,0.236363636,0.317357069,0.408897485,0.31995114203950703,0.3227675060551347,101.44251424282,-0.6264228827712941,4.323083962166694,-9.829013938084245,10.106020427623719
"BAL",81,1190,3067,96,376,365,41,0.098793609,0.24095207,0.16112343,0.293030623,0.240576496,0.319580877,0.401699926,0.3185337211868269,0.3234332206021798,102.25606065190513,-1.5327379560330883,6.626528334890844,-18.248017633799464,9.933389211618206
"MIL",77,1135,3001,68,401,378,77,0.108297234,0.211596134,0.13552833,0.307413167,0.253062787,0.337033299,0.388591117,0.32212454975255844,0.31663490435770786,104.11083139402916,2.7003373425104655,17.314192268234642,-19.6447511613369,9.620189135741882
"ATH",79,1196,3054,105,365,351,43,0.098231827,0.222331368,0.16864344,0.29253112,0.247961452,0.328402366,0.416604892,0.3274771481112015,0.31910089860743435,104.04487411442804,-4.203366760164499,10.425793290458776,-25.842824274674058,9.500217817507918
"KCR",80,1165,3033,80,345,330,61,0.089020771,0.207385426,0.149126069,0.291894579,0.248047601,0.320198675,0.39717367,0.3164785282579404,0.3215324865601424,96.30868950091396,2.3432292081415653,-10.915391197582737,-4.0141828348860145,9.473690240263924
"MIN",81,1208,3077,100,392,371,50,0.088072798,0.21676958,0.164288328,0.286720321,0.245151847,0.321289062,0.409440175,0.3224905857323357,0.3146689489653993,102.70928287102467,-3.6017715972848237,6.270729625206709,-23.463554305955768,9.402952962326253
"TEX",79,1173,2962,81,317,305,36,0.088116137,0.224848075,0.146387833,0.292849631,0.242585551,0.318766937,0.388973384,0.3140586727669492,0.31410077794068525,99.05830543201199,-1.198591433931142,-4.501834014108956,-12.437302781268954,9.011972369121086
"TOR",79,1234,2961,80,327,314,35,0.075312394,0.19587977,0.143501127,0.289447731,0.250563486,0.313752122,0.394064613,0.31187984738010593,0.30452378546162623,96.70349131952361,-3.601248238050175,-15.16071976987936,-2.009242394939065,8.984870174036388
"MIA",80,1176,2990,72,345,331,88,0.089297658,0.220735785,0.144048522,0.298345398,0.246019711,0.322927156,0.390068233,0.31570379977192553,0.3058700861056404,97.88343101076748,5.390916802920401,-2.1058283732635026,-7.188434187322855,8.875757407796051
"SFG",78,1124,2940,82,320,312,26,0.063605442,0.20510204,0.160966543,0.301133563,0.257620817,0.309767759,0.41858736,0.31735539726397205,0.30754754728722883,102.79608435466801,-6.719523582491092,3.01840828443531,-15.438672400545329,8.39356924274868
"TBR",76,1119,2896,63,333,318,70,0.095649171,0.192334254,0.12588513,0.302110138,0.255704169,0.333913649,0.381589299,0.31840018657736324,0.3072990620296557,99.70582253346117,2.535812550224364,1.5269004987882058,-23.52549523860216,8.2581609503883
"BOS",77,1090,2880,65,301,288,58,0.078819444,0.220138888,0.137824235,0.296004206,0.243128145,0.312303938,0.38095238,0.30772265929154224,0.3040849282538477,89.2194884999359,3.4990514336386696,-33.269557848582835,11.592040138319135,8.232831382697004
"SEA",80,1147,2995,100,329,320,60,0.08948247,0.226377295,0.15590789,0.271813855,0.231785579,0.312018747,0.387693469,0.3106376843153431,0.3232686987243781,101.7897915199873,-3.674891489674337,2.673221110397222,-29.558877332136035,8.119878960734514
"ARI",79,1142,2938,69,337,324,50,0.085091899,0.196051735,0.14553094,0.277192982,0.237585943,0.308430431,0.383116883,0.3060165268145936,0.3123920238887485,91.49729946764937,2.5424816862796433,-27.04975599852036,8.862255670130253,7.800395904653179
"CLE",80,1171,2988,75,316,302,72,0.101405622,0.217536813,0.140839695,0.272584856,0.227862595,0.312584118,0.36870229,0.3038721338175891,0.3062293841407042,91.93081274989912,1.5412710970267653,-27.01199123826354,-5.825183853507042,7.489161485504065
"DET",79,1181,2959,87,322,308,27,0.097330179,0.229131463,0.158377965,0.282051282,0.235271614,0.31504065,0.393649579,0.3138823120270745,0.3219721299957256,97.32357608938636,-2.409520701970905,-11.88578239556309,-24.192069970071316,7.054439785856102
"LAA",81,1200,3077,97,367,352,41,0.088072798,0.248618784,0.159941306,0.296119085,0.239911958,0.318656229,0.399853264,0.3176818793218511,0.3148583041862368,99.0736486593581,-6.920481844455935,-10.29606319875175,-30.057855140417814,7.047164068120108
"SDP",78,1159,2853,80,304,296,78,0.088328075,0.232036452,0.143978031,0.26286966,0.219693997,0.293455313,0.363672028,0.29143190236635275,0.30856406123437363,86.4432746770811,3.717662856914103,-42.142000776649176,9.792980471625924,6.080787088679561
"PHI",79,1131,2939,103,344,333,62,0.07825791,0.232732221,0.165473049,0.274509803,0.234074632,0.300749318,0.399547681,0.30775592603781116,0.3153780520328983,92.28152911232029,6.555788001580368,-20.31621183944541,-15.208452980499715,6.040262119203375
"NYM",78,1134,2900,84,317,303,38,0.078620689,0.223448275,0.140613027,0.274261603,0.231417624,0.297709923,0.372030651,0.29666635632432053,0.3198640555600575,89.56840940091337,-0.7953309883014299,-36.74937328034713,-12.558184631168842,4.51025860163249
"COL",80,1184,3028,86,361,345,58,0.081902245,0.233817701,0.157680945,0.309043927,0.252584933,0.322623385,0.410265878,0.32329465495777476,0.3077276108028252,90.69938707794869,-2.068952402099967,-35.42976131693012,-18.643340373411775,4.445975237424349
"CIN",78,1191,2953,96,326,308,59,0.098543853,0.250253979,0.162389889,0.274553571,0.225201072,0.306698401,0.387590961,0.30757588875151576,0.32358959692989325,88.64820660752142,-0.5246083093807101,-40.234349531881975,-17.449524082243443,3.8323632524739253